id,type,cell,safe,youngest,county,regvoter,gender,rwdirusa,rwdiril,redirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,fix_deficit_il13,school_consol,school_consol_local,school_pen_local,pen_inccontrib,pen_hccontrib,term_lim,term_leader,cf_lim_leader,prim_nodeclr,redist_hat,redist_neutral,redist_commis,term_resp,term_expert,term_fresh,term_lobby,view_coalind,view_coalmnr,view_siu,view_colstud,view_farmers,view_docs,qual_he,qual_K12,fund_he,fund_hefrom,qual_heimport,qual_heattract,col_orjob,col_qualgo,col_lowincgo,col_moreimp,col_opp,col_kidsopp,col_price4yr,col_pricecc,cclearn,fracking,frack_safe,frack_econ,imp_fed,imp_fedfeel,imp_il,imp_ilfeel,imp_local,imp_localfeel,betteroff_now,betteroff_1yr,betteroff_worsoff,abort_leg,lg_coup_rts,education,ideology,party_aff,whereborn,net_type,net_bbavail,employ_time,employ_type,retired_type,relig_often,relig_type,religion,relig_denom,relig_denom_other,born_again,zip,birth_yr,rac_eth,rac_eth_other,hh_inc
271,2, , ,1,18,1,2,1,3,1,4,2, , ,5,2,2,3,1,2,1,1,4,4,1,4,4,4,4,1,4,4,3,4,2,2,2,5,3,2,1,1,1,1,2,1,3,2,2,2,2,2,1,4,2,1,2,1,2,1,2,3,2,2,1,1,1,2,1,3,4,1,3, ,1,5, ,1,98, ,5,62974,1937,1, ,1
109,2, , ,1,8,1,2,2,2,1,3,1,6, ,1,4,2,1,1,1,1,1,4,1,1,4,4,1,3,1,4,2,2,2,2,2,2,1,2,2,3,1,1,1,1,3,1,1,3,2,1,1,3,5,3,2,2,2,1,3,1,3,2,1,2,3,2,5,7,3,5,3,3, ,3,5, ,1,31, ,2,62943,1932,1, ,2
339,2, , ,1,15,1,1,1,2,1,2,2, , ,3,4,3,2,2,2,3,4,3,1,4,1,2,1,3,1,3,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,3,1,1,1,1,4,1,2,2,1,1,1,1,1,1,3,3,1,2,3,2,4,1,1,2,1,3, ,3,4, ,1,3, ,5,62920,1971,1, ,2
611,2, , ,1,7,1,1,2,2,1,3,2, , ,2,2,2,2,1,2,1,1,1,3,4,4,1,1,3,1,2,2,5,2,2,1,2,6,3,3,2,2,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,3,5,4,5,1,2,1,3, ,4,2,1, ,3, ,2,62816,1947,1, ,7
925,2, , ,1,18,1,2,2,2,2,5,4, , ,2,4,3,2,3,2,3,3,4,5,4,2,5,2,2,2,3,2,2,2,2,2,2,3,3,1,5,3,3,1,3,1,1,2,4,2,2,5,2,3,2,1,2,1,2,2,2,3,2,2,1,3,1,3,2,1,5,1,4, , ,3,1, ,3, ,2,62922,9999,1, ,1
1450,2, , ,1,9,1,2,2,2,2,3,4, , ,2,4,4,1,2,1,1,1,4,1,4,1,5,1,4,1,4,6,6,5,2,1,1,3,1,1,2,2,3,1,2,1,1,1,1,2,2,5,3,5,3,1,2,1,3,1,2,3,2,3,2,3,3,6,4,1,2,3,3, ,1,1,1, ,14, ,2,62960,9999,1, ,9
415,1,1,1, ,18,1,1,2,2,1,2,3, , ,2,5,3,2,3,2,1,3,3,1,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,3,1,1,3,1,1,2,2,1,1,3,1,3,3,3,3,3,1,4,3,2,3,8,1,5,3,1,1, ,5, ,1,98, ,5,99999,9999,1, ,9
818,1,1,1, ,8,1,1,2,2,1,3,3, , ,2,5,2,2,2,2,1,1,1,1,4,1,4,2,4,1,4,1,2,2,2,1,4,4,5,1,4,1,2,1,2,4,1,1,2,2,3,4,3,5,3,1,2,1,3,1,2,3,1,2,2,3,3,5,2,2,5,1,1,1, ,4, ,1,3, ,5,62939,1980,1, ,6
1227,2, , ,1,17,1,1,2,2,1,2,1,3, ,2,4,4,2,1,1,1,1,1,1,4,1,1,1,4,1,4,1,2,1,5,1,1,2,2,1,2,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,2,1,2,3,1,2,2,3,2,2,3,5,7,1,2,1,1,1, ,4, ,1,3, ,2,62821,1959,1, ,5
12,2, , ,1,13,1,2,2,2,2,4,2, , ,2,3,4,2,2,2,2,1,1,3,4,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,2,1,2,1,2,3,2,3,2,3,2,4,1,1,2,1,3, ,1,1,1, ,31, ,5,62237,1944,1, ,2
198,2, , ,1,9,1,2,2,2,2,3,2, , ,1,2,3,3,3,1,5,1,2,1,4,2,2,2,3,1,1,2,2,2,1,2,2,1,2,3,1,1,1,1,1,3,1,1,1,2,1,2,3,2,2,2,2,2,3,1,1,3,3,1,3,4,1,4,9,1,5,1,3, ,1,1,1, ,14, ,5,62960,1948,5, ,1
649,2, , ,1,7,1,2,2,2,2,2,1,6, ,2,4,4,2,1,2,1,2,2,5,4,4,2,2,2,2,3,2,2,2,2,1,2,2,2,1,4,1,1,3,1,3,1,1,2,2,3,1,1,2,1,1,2,1,2,3,3,3,3,2,3,3,6,4,6,1,4,2,1,3, ,1,1, ,32, ,2,62851,1960,1, ,9
1031,2, , ,1,2,1,2,2,2,3,3,3, , ,2,3,2,3,1,2,2,2,2,1,4,1,2,2,3,1,3,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,5,3,1,2,1,2,2,1,2,3,3,2,1,2,2,3,1,5,3,1,2, ,2,1, ,3, ,1,62896,1950,1, ,2
1395,2, , ,1,18,1,2,2,2,1,1,1,6, ,3,3,3,3,1,1,2,3,5,1,3,2,2,2,5,2,3,2,2,1,1,2,2,2,1,2,2,1,1,3,1,3,1,3,3,1,2,2,1,2,1,2,2,1,3,1,1,3,3,3,2,1,5,4,6,1,3,1,3, ,4,1,1, ,19, ,5,99999,1923,1, ,4
238,2, , ,1,2,1,2,2,2,2,3,3, , ,2,3,3,1,2,2,2,2,4,1,2,1,1,1,4,1,3,6,5,6,6,6,6,3,3,1,4,3,2,2,2,2,1,1,4,2,1,1,4,5,3,2,1,2,1,2,1,2,2,2,2,3,2,3,8,1,2,3,1,2, ,4, ,1,3, ,5,62890,1960,1, ,1
888,2, , ,1,5,1,2,2,2,1,5,3, , ,5,2,2,3,3,2,4,5,2,1,5,5,5,2,2,3,5,2,2,1,1,2,2,3,3,2,3,2,1,1,2,1,1,1,1,2,2,1,4,5,2,3,1,2,1,2,1,3,3,3,2,3,3,6,6,1,3,3,3, ,3,4, ,1,88,FIRST APOSTLE,2,62982,1929,1, ,1
193,2, , ,1,8,1,1,2,2,2,5,4, , ,2,2,2,1,2,1,1,1,1,1,4,1,2,2,3,2,3,2,2,2,1,2,2,2,2,1,2,1,1,1,2,3,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,6,3,9,3,2,3,4, , ,5, ,1,19, ,5,62939,1951,5, ,1
1016,2, , ,1,7,1,1,2,3,1,3,3, , ,3,3,3,2,1,2,3,3,2,3,4,2,3,4,1,1,3,2,1,2,2,2,2,3,2,2,2,2,1,1,2,3,1,1,2,1,2,4,3,2,2,3,1,3,3,3,1,1,1,3,2,2,2,4,4,3,3,1,1,1, ,4, ,1,3, ,5,62864,1980,1, ,1
1547,2, , ,1,10,1,1,2,2,2,3,2, , ,3,4,4,2,1,1,1,1,1,1,4,2,2,3,3,3,2,2,2,2,2,2,2,4,4,2,3,1,3,2,2,3,2,1,1,2,1,2,1,1,1,3,1,3,2,2,2,2,4,4,1,1,5,2,3,1,5,1,3, ,4,4, ,1,3, ,5,62832,1939,1, ,1
1845,2, , ,1,18,1,1,2,2,2,4,1,6, ,2,3,4,2,1,1,4,1,4,1,4,1,1,1,4,1,4,1,6,1,3,2,2,4,2,1,2,2,1,3,2,3,1,1,2,1,1,1,1,3,2,1,2,3,2,3,1,2,2,2,2,2,5,5,9,2,3,1,3, ,1,1,1, ,14, ,5,62918,1943,1, ,3
643,1,1,1, ,17,1,1,3,2,2,2,2, , ,2,2,2,1,2,2,1,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,1,3,1,2,3,1,1,1,3,1,1,1,2,2,3,1,2,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,4, ,4, ,1,3, ,5,62821,1957,1, ,3
1050,2, , ,1,14,1,2,3,2,2,5,3, , ,2,5,1,1,2,1,1,1,4,4,4,1,1,3,3,1,4,2,2,2,2,2,2,4,3,2,3,3,3,2,3,2,1,1,1,2,1,5,3,2,2,2,1,2,3,2,3,3,3,3,2,3,2,4,9,3,2,3,4, , ,3,1, ,16, ,5,62946,1955,1, ,1
1641,2, , ,1,6,1,2,2,2,1,2,4, , ,5,3,3,3,1,2,1,2,2,1,4,1,3,1,4,1,4,2,2,2,1,1,2,3,3,2,1,2,3,1,2,1,1,1,2,1,1,1,3,3,2,2,2,1,2,2,1,3,1,2,2,3,3,3,4,3,2,2,2,2, ,3,1, ,9, ,5,62924,1953,1, ,4
498,1,1,1, ,7,1,2,3,2,1,3,2, , ,2,2,2,2,1,2,1,1,1,1,3,2,2,2,3,2,3,2,1,2,1,1,2,3,3,2,3,2,1,3,2,3,1,1,4,2,1,3,2,5,3,1,2,1,2,2,2,1,3,3,1,2,2,2,1,2,4,1,1,5, ,4, ,1,14, ,5,62864,1959,1, ,4
824,1,1,1, ,2,1,2,1,1,1,5,2, , ,2,2,1,1,1,2,2,1,1,2,2,2,2,3,4,2,2,1,1,1,1,2,2,6,6,2,4,3,1,1,1,3,1,1,1,2,2,2,1,3,2,3,1,4,1,2,1,3,2,2,1,1,5,2,1,1,3,3,3, ,4,5, ,1,9, ,5,62884,1943,1, ,6
1272,1,1,1, ,13,1,1,2,2,2,2,4, , ,2,3,3,2,1,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,1,3,2,1,3,2,2,1,2,2,1,2,1,2,2,2,3,3,1,4,2,2,4,4,5,3,4,1,5, , ,3,1, ,13, ,5,62288,1972,5, ,4
863,2, , ,1,6,1,2,1,1,1,1,3, , ,3,2,2,1,1,1,5,5,5,1,5,5,2,3,3,3,2,3,3,1,1,3,5,2,1,1,2,3,3,1,1,3,1,1,1,1,1,4,1,4,2,1,2,2,2,3,1,3,3,3,1,1,5,2,3,1,6,1,3, ,3,5, ,3, , , ,62958,1942,1, ,9
1984,1,1,1, ,14,1,2,2,2,2,4,1,6, , , , ,2,2,3,2,2,2,2,4,2,4,3,4,1,1,1,1,1,1,5,2,4,5,2,1,1,1,1,2,1,1,1,2,2,2,4,2,4,2, , , , , , ,2,2, ,2,3,3,4,9,3,3,1,2,1, ,5, ,1, , ,5,62935,1956,1, ,2
910,2, , ,1,13,1,1,2,3,1,3,3, , ,3,3,4,3,1,2,1,1,4,1,4,5,2,2,4,2,4,3,6,1,5,2,5,1,1,2,1,1,3,2,2,3,1,2,2,1,1,2,4,5,2,1,2,3,1,3,1,3,3, ,1,1,5,2,1,1,6,3,3, , ,6, ,1, , ,5,62233,1937,1, ,1
2697,1,1,1, ,18,1,2,1,1,1,2,2, , , , , ,2,1,1,4,4,4,1,1,4,1,4,1,4,1,3,2,1,2,2,2,2,2,2,1,1,3,3,2,1,1,2,2,1,1,1,1,4,2, , , , , , ,3,3, ,1,1,5,2,3,3,2,1,3, , ,5, ,3, , , ,62918,1945,1, ,5
3257,1,1,1, ,15,1,1,2,2,1,3,1,6, , , , ,2,1,2,4,2,1,3,4,2,3,3,2,3,5,2,2,2,2,1,2,3,3,1,2,3,3,3,1,1,2,1,4,3,3,1,2,1,1, , , , , , ,3,3, ,3,3,6,5,7,2,2,1,3, , ,1,1, , , ,1,62906,1946,1, ,9
2076,2, , ,1,9,1,2,2,2,3,3,1,6, , , , ,3,3,2,1,1,1,1,5,2,5,1,3,2,5,1,1,2,2,1,1,3,3,2,5,3,3,1,1,2,1,1,3,3,1,1,4,5,2, , , , , , ,3,3, ,3,3,3,5,6,1,5,1,3, , ,1,1, , , ,2,62956,1938,1, ,1
2520,2, , ,1,6,1,1,3,1,1,1,4, , , , , ,2,3,1,2,2,5,3,2,1,1,4,2,2,3,2,2,1,1,2,1,2,2,2,1,2,1,3,2,1,1,2,4,3,1,1,2,2,3, , , , , , ,3,3, ,2,1,6,2,3,2,6,3,3, , ,2,1, , , ,5,62091,1930,1, ,9
2940,2, , ,1,18,1,2,2,2,3,2,1,6, , , , ,3,3,3,5,1,5,5,3,4,5,1,3,1,3,6,3,2,2,2,5,3,6,3,2,3,3,3,2,1,1,1,1,3,3,1,2,5,3, , , , , , ,3,3, ,2,3,1,6,7,1,5,3,3, , ,1,2, , , , ,62890,1926,1, ,1
3108,2, , ,1,17,1,2,3,3,3,3,4, , , , , ,1,2,1,5,3,1,5,4,4,5,3,2,1,5,2,2,6,6,6,6,2,2,1,2,2,1,1,1,2,1,1,1,3,1,4,4,5,1, , , , , , ,3,3, ,3,3,4,1,9,1,5,1,3, , ,2,1, , , ,4,62821,1941,1, ,1
3475,2, , ,1,6,1,2,1,1,3,2,3, , , , , ,2,2,2,3,2,2,1,3,2,3,2,5,2,2,2,2,2,2,2,2,3,3,2,5,2,1,1,2,3,1,1,1,3,1,1,2,5,3, , , , , , ,3,3, ,2,4,2,3,4,1,2,3,3, , ,1,1, , , ,4,62932,1946,1, ,2
2384,2, , ,1,2,1,2,2,2,1,2,2, , , , , ,2,1,1,3,2,1,5,4,1,2,1,3,2,5,3,2,2,2,2,2,2,1,2,2,2,1,1,2,3,1,1,1,2,1,1,1,4,2, , , , , , ,3,3, ,1,2,3,4,3,3,4,3,1,5, ,4, ,1, , ,5,62836,1960,1, ,3
2942,2, , ,1,10,1,2,2,2,3,3,3, , , , , ,2,2,2,3,2,4,1,4,1,2,3,3,1,3,1,1,2,2,1,1,2,2,2,2,2,3,1,2,2,1,1,1,1,1,1,1,3,1, , , , , , ,2,2, ,2,1,2,3,8,1,2,1,4, , ,1,1, , , ,3,62832,1957,1, ,4
3238,2, , ,1,6,1,2,2,2,1,4,2, , , , , ,2,1,2,1,2,1,1,1,1,2,3,3,2,2,2,2,2,2,2,2,4,3,1,1,2,1,1,1,3,1,1,2,2,1,1,4,3,2, , , , , , ,3,1, ,1,2,6,4,1,3,3,1,2,3, ,1,1, , , ,2,62901,1983,2, ,1
3284,2, , ,1,13,1,2,2,2,1,4,1,6, , , , ,3,1,1,1,1,3,2,4,3,3,1,3,1,4,2,1,3,1,1,2,2,2,1,3,3,1,1,1,3,1,1,2,2,2,1,3,1,1, , , , , , ,3,2, ,3,2,2,5,7,1,2,3,3, , ,2,1, , , ,3,62278,1938,1, ,2
1963,2, , ,1,12,1,1,2,2,2,3,1,2, , , , ,2,3,2,1,1,1,2,4,2,3,1,4,2,3,2,2,2,5,1,1,6,6,1,3,2,3,1,1,2,1,1,1,1,1,1,3,2,1, , , , , , ,3,3, ,2,3,2,4,6,1,5,3,1,1, ,3,1, , , ,2,62970,1950,1, ,3
2137,2, , ,1,14,1,1,1,2,2,2,3, , , , , ,1,1,2,1,1,4,1,4,1,1,1,4,1,3,1,1,2,1,1,2,3,3,1,2,2,3,1,1,1,1,1,3,2,1,1,2,4,2, , , , , , ,3,3, ,2,1,3,4,2,1,2,1,1,1, ,4, ,1, , ,5,62930,1954,1, ,5
2437,2, , ,1,17,1,2,2,2,1,3,4, , , , , ,1,1,1,3,3,2,1,3,2,2,2,3,2,2,1,1,2,1,1,1,3,4,2,1,1,3,2,2,3,1,1,1,2,1,1,4,2,1, , , , , , ,3,3, ,3,3,5,3,6,1,2,3,4, , ,3,1, , , ,5,62827,1987,1, ,9
2725,2, , ,1,14,1,1,2,2,1,3,1,2, , , , ,2,2,1,1,1,4,1,4,4,1,1,4,1,3,2,5,4,2,2,5,5,5,1,2,3,3,2,1,3,1,1,1,2,2,1,2,2,1, , , , , , ,3,3, ,1,3,2,2,5,1,2,1,3, , ,4, ,3, , , ,62917,1943,1, ,3
3001,2, , ,1,7,1,2,1,3,1,3,2, , , , , ,2,1,1,4,1,4,1,3,2,1,1,4,2,3,2,2,2,1,1,3,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,3, , , , , , ,3,3, ,1,1,2,2,1,1,4,2,3, , ,5, ,3, , , ,62810,1946,1, ,5
3251,2, , ,1,5,1,2,2,2,2,4,2, , , , , ,2,1,2,1,1,1,1,4,1,2,1,4,2,3,2,2,3,1,2,2,2,3,2,1,1,1,1,2,1,1,2,1,2,1,1,1,4,2, , , , , , ,3,2, ,1,1,4,1,1,1,4,1,3, , ,5, ,1, , ,2,62919,1955,1, ,1
2153,1,1,1, ,18,1,2,2,2,1,3,1,6, , , , ,1,1,1,1,1,1,1,5,5,2,1,3,1,5,2,5,2,5,2,2,6,3,2,3,2,1,2,2,2,1,1,1,1,1,2,2,2,1, , , , , , ,3,3, ,2,2,2,4,5,2,3,1,1,2, ,5, ,1, , ,2,62959,1954,1, ,3
2029,2, , ,1,13,1,1,2,2,1,2,1,6, , , , ,2,1,2,1,1,1,1,4,1,3,1,4,1,4,1,2,2,2,1,1,6,2,1,2,3,3,3,1,3,1,1,1,2,1,2,2,1,1, , , , , , ,3,3, ,3,3,2,5,6,1,2,1,1,3, ,1,1, , , ,5,62278,1954,1, ,5
1974,2, , ,1,18,1,2,2,2,1,2,4, , , , , ,2,2,1,1,1,1,1,4,1,1,3,2,2,5,2,2,3,2,2,2,2,2,1,2,3,3,1,1,3,1,1,1,2,1,2,2,5,1, , , , , , ,3,2, ,3,3,5,4,4,3,6,1,1,3, ,1,1, , , ,1,99999,1954,1, ,9
2938,1,1,1, ,8,1,1,1,2,1,3,4, , , , , ,2,1,2,1,1,1,1,4,1,2,2,3,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,3,1,1,3,1,1,2,1,2,1, , , , , , ,3,2, ,2,2,3,3,2,1,4,1,3, , ,1,1, , , ,2,62912,1948,1, ,3
3235,1,1,1, ,6,1,1,2,2,1,3,4, , , , , ,2,2,2,4,3,1,1,1,1,1,4,1,4,4,1,5,1,1,1,2,5,5,3,1,1,1,3,2,1,4,2,1,2,2,1,2,3,2, , , , , , ,1,3, ,2,1,3,6,9,3,4,1,4, , ,5, ,1, , ,5,62901,1991,1, ,1
3154,1,1,1, ,14,1,2,2,2,1,4,4, , , , , ,2,3,2,1,1,3,1,4,2,1,2,4,5,3,1,1,2,1,1,1,2,2,2,1,1,1,3,2,3,1,1,1,1,1,1,2,4,2, , , , , , ,2,2, ,2,3,3,5,6,1,3,1,1,3, ,1,1, , , ,2,62946,1940,1, ,2
3269,1,1,1, ,12,1,2,1,2,3,3,2, , , , , ,2,1,1,2,2,1,1,5,2,2,1,3,2,2,5,5,3,1,1,1,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,2,2,1, , , , , , ,3,3, ,2,1,6,2,1,3,4,1,1,1, ,1,1, , , ,5,62956,1971,1, ,6
1948,2, , ,1,8,1,2,2,2,2,4,3, , , , , ,2,2,2,1,1,1,1,4,2,2,1,4,1,3,1,1,2,2,1,2,3,3,2,2,3,1,2,2,2,1,1,2,1,1,1,2,3,2, , , , , , ,2,2, ,3,3,5,5,5,1,2,1,2,3, ,1,1, , , ,3,62985,1974,1, ,9
2128,2, , ,1,16,1,1,2,2,1,2,3, , , , , ,2,1,1,1,1,2,4,3,2,2,5,4,2,3,2,2,2,2,1,2,3,2,1,5,2,3,1,1,3,1,1,1,2,1,1,3,5,1, , , , , , ,3,2, ,2,4,2,4,7,3,2,1,3, , ,1,1, , , ,5,62263,1946,1, ,3
2396,2, , ,1,13,1,2,2,3,1,3,1,6, , , , ,2,2,2,3,3,3,1,4,2,1,1,2,2,1,3,2,1,2,2,5,2,1,2,1,1,1,2,2,4,1,2,2,2,1,1,2,2,2, , , , , , ,3,2, ,2,2,3,2,6,1,4,3,3, , ,1,1, , , ,4,62233,1938,1, ,4
3180,2, , ,1,18,1,1,2,2,1,5,1,2, , , , ,2,2,2,1,1,2,5,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,1,2,3,1,1,1,1,1,1,2,2,1, , , , , , ,3,3, ,1,3,5,4,5,1,2,1,1,1, ,5, ,1, , ,5,62959,1970,1, ,6
3417,2, , ,1,13,1,1,3,2,1,2,2, , , , , ,2,2,2,2,1,4,1,4,2,2,1,4,1,4,3,2,1,1,5,1,1,1,1,1,2,3,3,1,3,1,1,1,3,1,3,1,3,2, , , , , , ,2,3, ,2,3,2,3,2,1,4,1,3, , ,1,1, , , ,5,62278,1928,1, ,1
3490,2, , ,1,8,1,2,2,2,2,4,4, , , , , ,2,1,2,1,1,2,2,3,4,3,3,4,1,3,2,1,2,2,5,2,3,3,1,4,2,3,1,1,3,1,1,3,2,1,1,3,5,2, , , , , , ,3,3, ,2,1,6,3,3,1,2,1,1,3, ,4, ,1, , ,5,62923,1969,1, ,6
1970,2, , ,1,15,1,2,2,2,1,2,2, , , , , ,2,1,1,2,2,4,1,3,3,3,5,1,4,2,5,5,2,2,2,2,3,3,1,2,3,3,3,1,3,1,1,4,1,1,1,1,2,1, , , , , , ,3,3, ,3,3,2,5,8,2,5,1,3, , ,1,1, , , ,2,62952,1932,1, ,9
2073,2, , ,1,18,1,2,2,2,1,2,4, , , , , ,3,2,2,1,1,4,1,4,4,4,1,4,1,5,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,1,4,1,3,3,5,2,5,3, , , , , , ,2,2, ,2,3,4,3,9,1,5,3,3, , ,1,1, , , ,2,62959,9999,1, ,9
2177,2, , ,1,7,1,2,2,2,2,3,1,6, , , , ,2,2,1,1,1,1,1,3,2,2,1,3,2,2,1,1,2,2,1,2,3,2,2,2,2,1,1,2,1,1,1,1,2,1,1,3,5,3, , , , , , ,2,3, ,3,3,3,5,6,2,2,2,2,5, ,1,1, , , ,1,62810,1969,1, ,5
